2023-12-29 15:55:00 Launching analysis for ae9cfd679f776d5e2333305bf8610100 with LEAN Engine v2.5.0.0.17286
2023-12-29 15:55:00 Accurate daily end-times now enabled by default. See more at https://qnt.co/3YHaWHL. To disable it and use legacy daily bars set self.settings.daily_precise_end_time = False.
2023-12-29 15:55:00 Algorithm starting warm up...
2023-12-29 15:55:00 Params OK | mode=json-live poll=60m sizing=linear cap=0.60 floor=0.10 url=https://gist.githubusercontent.com/racoope70/3deb62ce13c3eaa...
2024-01-02 09:32:00 Algorithm finished warming up.
2024-01-02 10:00:00 GE: BUY (conf=0.15)
2024-01-02 10:00:00 Rebalance: buys=1, sells=0, holds=0, gross=0.09
2024-01-02 11:00:00 Rebalance: buys=1, sells=0, holds=0, gross=0.09
2024-01-02 12:00:00 Rebalance: buys=1, sells=0, holds=0, gross=0.09
2024-01-02 13:00:00 Rebalance: buys=1, sells=0, holds=0, gross=0.09
2024-01-02 14:00:00 Rebalance: buys=1, sells=0, holds=0, gross=0.09
2024-01-02 15:00:00 Rebalance: buys=1, sells=0, holds=0, gross=0.09
2024-01-03 10:00:00 Rebalance: buys=1, sells=0, holds=0, gross=0.09
2024-01-03 11:00:00 Rebalance: buys=1, sells=0, holds=0, gross=0.09
2024-01-03 12:00:00 Rebalance: buys=1, sells=0, holds=0, gross=0.09
2024-01-03 13:00:00 Rebalance: buys=1, sells=0, holds=0, gross=0.09
2024-01-03 14:00:00 Rebalance: buys=1, sells=0, holds=0, gross=0.09
2024-01-03 15:00:00 Rebalance: buys=1, sells=0, holds=0, gross=0.09
2024-01-04 10:00:00 Rebalance: buys=1, sells=0, holds=0, gross=0.09
2024-01-04 11:00:00 Rebalance: buys=1, sells=0, holds=0, gross=0.09
2024-01-04 12:00:00 Rebalance: buys=1, sells=0, holds=0, gross=0.09
2024-01-04 13:00:00 Rebalance: buys=1, sells=0, holds=0, gross=0.09
2024-01-04 14:00:00 Rebalance: buys=1, sells=0, holds=0, gross=0.09
